portName;portCode;cityName;domestic;countryName;countryCode;depPortCode
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;BER
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ;BER
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH;BER
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE;BER
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;BER
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE;BER
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA;BER
Sofya;SOF;Sofya;False;Bulgaristan;BG;BER
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;BER
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA;BER
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE;BER
Tiflis;TBS;Tiflis;False;Gürcistan;GE;BER
Bağdat;BGW;Bağdat;False;Irak;IQ;BER
Basra;BSR;Basra;False;Irak;IQ;BER
Erbil;EBL;Erbil;False;Irak;IQ;BER
Meşhed;MHD;Mashad;False;İran;IR;BER
Tabriz;TBZ;Tebriz;False;İran;IR;BER
Tahran - IKA;IKA;Tahran;False;İran;IR;BER
Podgoritsa/TGD;TGD;Podgorica;False;Karadağ;ME;BER
Doha - DOH;DOH;Doha;False;Katar;QA;BER
Aktau;SCO;Aktau;False;Kazakistan;KZ;BER
Almati;ALA;Almati;False;Kazakistan;KZ;BER
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;BER
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;BER
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;BER
Oş;OSS;Oş;False;Kırgızistan;KG;BER
Priştine;PRN;Priştine;False;Kosova;XK;BER
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW;BER
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;BER
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;BER
Beyrut;BEY;Beyrut;False;Lübnan;LB;BER
Hurgada;HRG;Hurghada;False;Mısır;EG;BER
İskenderiye;HBE;İskenderiye;False;Mısır;EG;BER
Kahire-CAI-Nile Air;CAI;Kahire;False;Mısır;EG;BER
Kahire-SPX;SPX;Kahire;False;Mısır;EG;BER
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;BER
Kişinev;RMO;Kishinev;False;Moldova;MD;BER
Karachi;KHI;Karaçi Jinnah;False;Pakistan;PK;BER
Varşova;WAW;Varşova;False;Polonya;PL;BER
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO;BER
Kazan;KZN;Kazan;False;Rusya;RU;BER
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU;BER
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU;BER
Belgrad;BEG;Belgrad;False;Sırbistan;RS;BER
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA;BER
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA;BER
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA;BER
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA;BER
Adana;ADA;Adana;True;Türkiye;TR;BER
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR;BER
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR;BER
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;BER
Antalya;AYT;Antalya;True;Türkiye;TR;BER
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR;BER
Batman;BAL;Batman;True;Türkiye;TR;BER
Bingöl;BGG;Bingöl;True;Türkiye;TR;BER
Dalaman;DLM;Dalaman;True;Türkiye;TR;BER
Denizli;DNZ;Denizli;True;Türkiye;TR;BER
Diyarbakır;DIY;Diyarbakır;True;Türkiye;TR;BER
Elazığ;EZS;Elazığ;True;Türkiye;TR;BER
Erzincan;ERC;Erzincan;True;Türkiye;TR;BER
Erzurum;ERZ;Erzurum;True;Türkiye;TR;BER
Gaziantep;GZT;Gaziantep;True;Türkiye;TR;BER
Iğdır;IGD;Iğdır Şehit Bülent Aydın;True;Türkiye;TR;BER
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;BER
İzmir;ADB;İzmir Adnan Menderes;True;Türkiye;TR;BER
Kayseri;ASR;Kayseri;True;Türkiye;TR;BER
Konya;KYA;Konya;True;Türkiye;TR;BER
Malatya;MLX;Malatya;True;Türkiye;TR;BER
Mardin;MQM;Mardin;True;Türkiye;TR;BER
Muğla - Milas Bodrum;BJV;Milas - Bodrum;True;Türkiye;TR;BER
Muş;MSR;Muş;True;Türkiye;TR;BER
Ordu-Giresun;OGU;Ordu;True;Türkiye;TR;BER
Rize - Artvin;RZV;Rize Artvin;True;Türkiye;TR;BER
Samsun;SZF;Samsun;True;Türkiye;TR;BER
Sivas;VAS;Sivas;True;Türkiye;TR;BER
Şanlıurfa;GNY;Şanlıurfa;True;Türkiye;TR;BER
Trabzon;TZX;Trabzon;True;Türkiye;TR;BER
Van;VAN;Van;True;Türkiye;TR;BER
Maskat;MCT;Maskat;False;Umman;OM;BER
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO;BER
Atina;ATH;Atina;False;Yunanistan;GR;BER
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;BRE
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;BRE
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;BRE
Tiflis;TBS;Tiflis;False;Gürcistan;GE;BRE
Almati;ALA;Almati;False;Kazakistan;KZ;BRE
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;BRE
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;BRE
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;BRE
Priştine;PRN;Priştine;False;Kosova;XK;BRE
Lefkoşa - Kuzey Kıbrıs;ECN;Ercan;False;Kuzey Kıbrıs Türk Cumhuriyeti;CP;BRE
Üsküp;SKP;Üsküp;False;Kuzey Makedonya;MK;BRE
Beyrut;BEY;Beyrut;False;Lübnan;LB;BRE
Hurgada;HRG;Hurghada;False;Mısır;EG;BRE
Şarm El-Şeyh;SSH;Şarm El Şeyh;False;Mısır;EG;BRE
Kişinev;RMO;Kishinev;False;Moldova;MD;BRE
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO;BRE
Kazan;KZN;Kazan;False;Rusya;RU;BRE
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU;BRE
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU;BRE
Adana;ADA;Adana;True;Türkiye;TR;BRE
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR;BRE
Antalya;AYT;Antalya;True;Türkiye;TR;BRE
İstanbul - Sabiha Gokcen;SAW;Istanbul - Sabiha Gökçen;True;Türkiye;TR;BRE
Kayseri;ASR;Kayseri;True;Türkiye;TR;BRE
Trabzon;TZX;Trabzon;True;Türkiye;TR;BRE
Amman;AMM;Amman Kraliçe Aliye;False;Ürdün;JO;BRE
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL;DTM
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ;DTM
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH;DTM
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE;DTM
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE;DTM
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE;DTM
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA;DTM
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM;DTM
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA;DTM
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE;DTM
Tiflis;TBS;Tiflis;False;Gürcistan;GE;DTM
Bağdat;BGW;Bağdat;False;Irak;IQ;DTM
Basra;BSR;Basra;False;Irak;IQ;DTM
Erbil;EBL;Erbil;False;Irak;IQ;DTM
Meşhed;MHD;Mashad;False;İran;IR;DTM
Tabriz;TBZ;Tebriz;False;İran;IR;DTM
Tahran - IKA;IKA;Tahran;False;İran;IR;DTM
Doha - DOH;DOH;Doha;False;Katar;QA;DTM
Aktau;SCO;Aktau;False;Kazakistan;KZ;DTM
Almati;ALA;Almati;False;Kazakistan;KZ;DTM
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ;DTM
Çimkent;CIT;Şimkent;False;Kazakistan;KZ;DTM
Bişkek;FRU;Bişkek;False;Kırgızistan;KG;DTM
Oş;OSS;Oş;False;Kırgızistan;KG;DTM
