portName;portCode;cityName;domestic;countryName;countryCode
Berlin-Brandenburg;BER;Berlin - Brandenburg;False;Almanya;DE
Bremen;BRE;Bremen;False;Almanya;DE
Dortmund;DTM;Dortmund;False;Almanya;DE
Dresden;DRS;Dresden;False;Almanya;DE
Düsseldorf;DUS;Düsseldorf;False;Almanya;DE
Frankfurt - Main;FRA;Frankfurt Main;False;Almanya;DE
Hamburg;HAM;Hamburg - Fuhlsbuettel;False;Almanya;DE
Hannover;HAJ;Hannover;False;Almanya;DE
Köln;CGN;Köln - Bonn;False;Almanya;DE
Leipzig;LEJ;Leipzig Halle;False;Almanya;DE
Münih;MUC;Münih Franz Josef Strauss;False;Almanya;DE
Münster;FMO;Münster Osnabrück;False;Almanya;DE
Nürnberg;NUE;Nuremberg;False;Almanya;DE
Paderborn/Lippstadt;PAD;Paderborn Lippstadt;False;Almanya;DE
Stuttgart;STR;Stuttgart;False;Almanya;DE
Tiran;TIA;Tiran - Rinas;False;Arnavutluk;AL
Viyana;VIE;Viyana;False;Avusturya;AT
Bakü;GYD;Bakü - Haydar Aliyev;False;Azerbaycan;AZ
Gence;GNJ;Ganja;False;Azerbaycan;AZ
Bahreyn;BAH;Bahreyn;False;Bahreyn Krallığı;BH
Brüksel;BRU;Brüksel;False;Belçika;BE
Brüksel Tümü;BRU_CRL;Brüksel Tümü;False;Belçika;BE
Brüksel-Charleroi;CRL;Brüksel - Charleroi;False;Belçika;BE
Abudhabi;AUH;Abu Dabi;False;Birleşik Arap Emirlikleri;AE
Dubai;DXB;Dubai;False;Birleşik Arap Emirlikleri;AE
Dubai Tümü;DXB_SHJ_RKT;Dubai Tümü;False;Birleşik Arap Emirlikleri;AE
Şarjah;SHJ;ŞARİKA - Sharjah;False;Birleşik Arap Emirlikleri;AE
Saraybosna;SJJ;Saraybosna;False;Bosna-Hersek;BA
Sofya;SOF;Sofya;False;Bulgaristan;BG
Prag;PRG;Prag - Vaclav Havel;False;Çek Cumhuriyeti;CZ
Aalborg;AAL;Aalborg;False;Danimarka;DK
Billund;BLL;Billund;False;Danimarka;DK
Kopenhag;CPH;Kopenhag;False;Danimarka;DK
Erivan;EVN;Zvartnots Uluslararası;False;Ermenistan;AM
Tallinn;TLL;Tallin;False;Estonya;EE
Kazablanka;CMN;Kazablanka Muhammed V;False;Fas;MA
Helsinki;HEL;Helsinki - Vantaa;False;Finlandiya;FI
Vaasa;VAA;Vaasa;False;Finlandiya;FI
Lyon-Saint Exupery;LYS;Lyon;False;Fransa;FR
Marsilya;MRS;Marsilya;False;Fransa;FR
Paris Tümü;CDG_ORY;Paris Tümü;False;Fransa;FR
Paris-Charles de Gaulle;CDG;Paris - Charles De Gaulle;False;Fransa;FR
Paris-Orly;ORY;Paris - Orly;False;Fransa;FR
Batum;BUS;Batum;False;Gürcistan;GE
Kutaisi;KUT;Kutaisi;False;Gürcistan;GE
Tiflis;TBS;Tiflis;False;Gürcistan;GE
Zagreb;ZAG;Zagreb;False;Hırvatistan;HR
Amsterdam;AMS;Amsterdam Schiphol;False;Hollanda;NL
Eindhoven;EIN;Eindhoven;False;Hollanda;NL
Maastricht;MST;Maastricht;False;Hollanda;NL
Rotterdam;RTM;Rotterdam The Hague;False;Hollanda;NL
Bağdat;BGW;Bağdat;False;Irak;IQ
Basra;BSR;Basra;False;Irak;IQ
Erbil;EBL;Erbil;False;Irak;IQ
Birmingham;BHX;Birmingham;False;İngiltere;GB
Edinburgh;EDI;Edinburgh;False;İngiltere;GB
London-Heathrow;LHR;Londra Heathrow;False;İngiltere;GB
Londra Tümü;STN_LHR_LGW;Londra Tümü;False;İngiltere;GB
Londra-Stansted;STN;Londra - Stansted;False;İngiltere;GB
Manchester;MAN;Manchester;False;İngiltere;GB
Meşhed;MHD;Mashad;False;İran;IR
Tabriz;TBZ;Tebriz;False;İran;IR
Tahran - IKA;IKA;Tahran;False;İran;IR
Dublin;DUB;Dublin;False;İrlanda;IE
Asturias;OVD;Asturias;False;İspanya;ES
Barselona;BCN;Barselona;False;İspanya;ES
Madrid - Barajas;MAD;Madrid - Barajas;False;İspanya;ES
Sevilla;SVQ;Sevilla;False;İspanya;ES
Tel Aviv - Ben Gurion;TLV;Tel Aviv - Ben Gurion ;False;İsrail;IL
Göteborg - Landvetter;GOT;Göteborg - Landvetter;False;İsveç;SE
Norrkoping;NRK;Norrkoping;False;İsveç;SE
Stockholm - Arlanda;ARN;Stockholm Arlanda;False;İsveç;SE
Basel - Mulhouse;BSL;Basel;False;İsviçre;CH
Cenevre;GVA;Cenevre;False;İsviçre;CH
Zürih;ZRH;Zürih - Kloten;False;İsviçre;CH
Bologna;BLQ;Bologna Guglielmo Marconi;False;İtalya;IT
Milan-Bergamo;BGY;Milano - Bergamo;False;İtalya;IT
Roma-Fiumicino;FCO;Roma - Fiumicino;False;İtalya;IT
Venedik;VCE;Venedik Marco Polo;False;İtalya;IT
Podgoritsa/TGD;TGD;Podgorica;False;Karadağ;ME
Doha - DOH;DOH;Doha;False;Katar;QA
Aktau;SCO;Aktau;False;Kazakistan;KZ
Almati;ALA;Almati;False;Kazakistan;KZ
Astana;NQZ;Nur Sultan Nazarbayev;False;Kazakistan;KZ
Çimkent;CIT;Şimkent;False;Kazakistan;KZ
Bişkek;FRU;Bişkek;False;Kırgızistan;KG
Oş;OSS;Oş;False;Kırgızistan;KG
Priştine;PRN;Priştine;False;Kosova;XK
Kuveyt;KWI;Kuveyt;False;Kuveyt;KW
